,1st Pub,Author,Awards,Genres,Link,N pag,Rating Count,Rating Value,Review Count,Title,series
244,1991,John Grisham,,"['Fiction', 'Thriller', 'Mystery']",https://www.goodreads.com/book/show/18545.Rosencrantz_and_Guildenstern_Are_Dead,76,574055,4.03,3529,The Firm,0
245,1966,Tom Stoppard,"[""New York Drama Critics' Circle Award for Best Play (1968)""]","['Plays', 'Drama', 'Classics']",https://www.goodreads.com/book/show/5358.The_Firm,126,80106,4.06,2053,Rosencrantz and Guildenstern Are Dead,0
246,1970,Toni Morrison,,"['Fiction', 'Classics', 'Historical']",https://www.goodreads.com/book/show/11337.The_Bluest_Eye,216,179308,4.07,9622,The Bluest Eye,0
247,1989,Bryce Courtenay,"[""West Australian Young Readers' Book Award (WAYRBA) for Older Readers (1996)""]","['Fiction', 'Historical', 'Historical Fiction']",https://www.goodreads.com/book/show/122.The_Power_of_One,544,81035,4.32,5307,The Power of One,1
248,1958,Truman Capote,,"['Classics', 'Fiction', 'Short Stories']",https://www.goodreads.com/book/show/251688.Breakfast_at_Tiffany_s_and_Three_Stories,142,214392,3.88,10788,Breakfast at Tiffany's and Three Stories,0
249,1946,John Hersey,,"['History', 'Nonfiction', 'Classics']",https://www.goodreads.com/book/show/27323.Hiroshima,152,62368,3.99,3259,Hiroshima,0
250,1966,Chaim Potok,"['Edward Lewis Wallant Award (1967)', 'National Book Award Finalist for Fiction (1968)']","['Fiction', 'Classics', 'Historical']",https://www.goodreads.com/book/show/27333.Silent_Spring,304,87427,4.04,4272,The Chosen,1
251,1962,Rachel Carson,['National Book Award Finalist for Nonfiction (1963)'],"['Nonfiction', 'Science', 'Environment']",https://www.goodreads.com/book/show/187181.The_Chosen,378,36924,3.98,2314,Silent Spring,0
252,1981,Isaac Asimov,,"['Science Fiction', 'Fiction', 'Classics']",https://www.goodreads.com/book/show/45195.A_Passage_to_India,864,4601,4.38,88,"Foundation / Foundation and Empire / Second Foundation / The Stars, Like Dust / The Naked Sun / I, Robot",1
253,1924,E.M. Forster,"['James Tait Black Memorial Prize for Fiction (1924)', 'Prix Femina Vie Heureuse Anglais (1925)']","['Classics', 'Fiction', 'Cultural']",https://www.goodreads.com/book/show/278097.Foundation_Foundation_and_Empire_Second_Foundation_The_Stars_Like_Dust_The_Naked_Sun_I_Robot,376,71481,3.68,3258,A Passage to India,0
254,1944,W. Somerset Maugham,,"['Fiction', 'Classics', 'Literature']",https://www.goodreads.com/book/show/31196.The_Razor_s_Edge,314,37162,4.19,3001,The Razor's Edge,0
